Prestamos,Depositos,Tasa,Arrendamientos,Activos
985.3175,5381.7151,6.25,5190.3118,8445.2279
992.2647,5451.7732,6.44,5267.7452,8548.8741
999.8397,5494.2816,6.59,5322.6554,8640.4328
1013.9806,5515.3634,6.75,5354.2495,8665.8073
1022.696,5559.4537,7,5401.6271,8731.061
1037.2559,5625.2434,7.15,5485.1339,8813.8582
1049.0138,5641.1365,7.26,5497.5632,8851.8033
1060.1331,5662.5639,7.5,5522.833,8915.7928
1069.1643,5721.1501,7.53,5564.0507,8967.5397
1088.181,5809.0697,7.75,5617.7267,9102.2494
1106.4184,5801.0768,7.93,5698.9021,9219.954
1118.4547,5827.9356,8.02,5734.0091,9232.8105
1124.0606,5830.3278,8.25,5761.6704,9255.1346
1147.3077,5855.2499,8.25,5812.7313,9307.59
1150.9467,5910.4459,8.25,5869.1942,9391.9902
1162.6095,6010.6057,8.25,6003.6185,9586.0436
1171.6304,6067.3759,8.25,6062.6082,9677.9192
1184.578,6136.2448,8.25,6145.2997,9802.9102
1192.8212,6147.492,8.25,6177.2835,9842.5856
1207.0273,6167.2198,8.25,6218.962,9892.7085
1216.1881,6213.9149,8.25,6158.7778,9852.1276
1229.1651,6303.7907,8.25,6219.0963,9937.4049
1247.3248,6304.7317,8.25,6272.1038,9983.0321
1262.6589,6293.3837,8.25,6308.4845,10040.2869
1272.5216,6289.7765,8.25,6359.8067,10106.3979
1301.176,6357.9095,8.25,6464.2341,10281.8966
1350.7923,6425.8001,8.03,6586.1795,10490.7979
1377.5167,6564.6279,7.74,6668.4405,10613.0127
1397.4512,6677.7708,7.5,6749.1963,10819.5425
1421.1636,6720.4193,7.33,6836.9684,10883.386
1441.0593,6716.8983,6.98,6896.6907,10964.2801
1451.4863,6763.0025,6,6909.3288,10999.7188
1471.5166,6847.2781,5.66,6923.9027,11108.5247
1492.2624,6879.3687,5.24,6911.7927,11044.3493
1494.7865,6845.9232,5,6923.4368,10995.7386
1496.3269,6853.1012,5,6896.7179,10958.3551
1499.902,6818.1158,5,6896.3672,10938.0716
1505.4028,6838.0987,5,6927.4443,10955.1434
1532.3119,7049.0341,5,7069.1565,11303.7263
1589.8842,7140.5969,4.56,7296.7944,11962.9862
1580.8279,7108.0408,4,7256.9374,12192.1503
1563.6059,7275.8275,3.61,7298.5063,12409.9628
1544.2795,7279.8733,3.25,7201.1055,12268.2744
1534.7816,7248.1438,3.25,7193.902,12037.4589
1512.5286,7314.816,3.25,7104.7545,12041.6591
1493.1416,7356.5886,3.25,7060.2634,12021.4869
1472.9185,7451.66,3.25,7100.0372,12063.375
1434.8055,7506.3393,3.25,7024.8735,11909.3898
1384.638,7450.024,3.25,6893.587,11721.7855
1356.676,7491.8229,3.25,6826.2842,11677.87
1338.7094,7533.9128,3.25,6757.7837,11712.2855
1309.7627,7601.4803,3.25,6680.4757,11764.6011
1293.7904,7689.9701,3.25,6744.3422,11826.817
1269.19,7757.6434,3.25,6701.5404,11775.5901
1237.5967,7690.994,3.25,6617.0952,11679.0917
1224.5919,7691.9532,3.25,6546.129,11714.2968
1211.5466,7710.6868,3.25,6591.849,11639.2629
1208.8766,7709.9586,3.25,6891.4722,11798.7969
1200.2016,7662.9083,3.25,6861.5162,11790.1163
1190.1232,7672.6201,3.25,6837.2347,11694.0274
1181.4758,7684.5503,3.25,6802.6039,11768.7875
1182.7725,7731.5245,3.25,6807.6337,11840.1786
1185.7338,7775.104,3.25,6798.4812,11838.892
1185.3232,7842.3062,3.25,6789.2073,11913.9492
1188.4757,7910.5272,3.25,6783.8705,11897.1272
1195.5716,7940.4639,3.25,6804.5125,11872.0945
1194.3168,7912.8466,3.25,6759.9818,11845.1498
1200.0479,7933.1239,3.25,6709.9998,11907.1681
1209.0995,8009.5235,3.25,6669.6801,12025.9551
1217.1456,8089.4548,3.25,6680.5934,12148.5956
1232.9855,8137.9926,3.25,6694.5951,12221.6166
1235.4086,8173.3797,3.25,6707.5558,12279.3628
1239.2463,8243.7083,3.25,6737.4929,12312.7434
1259.2837,8310.205,3.25,6784.2554,12420.4674
1267.7382,8359.1685,3.25,6805.5788,12485.1627
1279.0001,8379.3915,3.25,6851.7197,12497.9104
1291.1388,8427.3754,3.25,6918.559,12526.9261
1305.9992,8506.975,3.25,6954.7801,12577.8791
1318.7594,8510.3525,3.25,6958.2712,12596.8713
1344.0102,8557.84,3.25,6994.8604,12724.5976
1354.7378,8630.6865,3.25,6978.3295,12636.327
1372.8499,8661.5161,3.25,6997.1853,12648.8091
1384.5863,8625.5622,3.25,7040.4687,12714.8553
1402.278,8706.5682,3.25,7071.863,12731.8711
1410.6709,8771.0535,3.25,7076.07,12798.0783
1421.9452,8834.7967,3.25,7112.78,12843.3985
1429.7727,8907.613,3.25,7150.7149,12859.5658
1446.6446,8994.1599,3.25,7164.2931,12867.3346
1452.2038,9141.7762,3.25,7202.9048,13029.0657
1475.0842,9335.4685,3.25,7269.5544,13146.3231
1481.2236,9274.2165,3.25,7269.809,13209.6206
1490.4866,9268.2955,3.25,7262.4072,13278.1757
1505.3907,9359.7983,3.25,7244.4258,13317.5458
1514.7578,9383.4536,3.25,7266.9036,13355.183
1517.6775,9336.6748,3.25,7274.4027,13466.1445
1528.2902,9392.5268,3.25,7296.7655,13520.5066
1530.4852,9458.6816,3.25,7297.7016,13576.5568
1529.2405,9497.2843,3.25,7301.8021,13672.3471
1532.3852,9578.6073,3.25,7334.8659,13778.7272
1545.6827,9679.6171,3.25,7357.1899,13876.0271
1551.4007,9746.4779,3.25,7373.2785,13999.1789
1573.0992,9885.2427,3.25,7425.7185,14047.8267
1581.562,9882.9008,3.25,7421.0834,14120.4837
1618.7676,9936.6186,3.25,7459.8473,14255.7369
1641.1514,10036.2768,3.25,7504.7953,14340.1064
1661.5829,10108.7927,3.25,7553.0332,14393.3042
1673.3204,10088.608,3.25,7606.6387,14517.9585
1685.6701,10128.1659,3.25,7672.3408,14651.8598
1694.0789,10191.8306,3.25,7709.0146,14777.7702
1706.4529,10196.1424,3.25,7760.7896,14853.0157
1715.0219,10307.7478,3.25,7799.546,14933.5199
1725.4301,10277.8646,3.25,7827.3687,14975.3192
1743.5572,10402.1843,3.25,7889.1533,15083.6604
1770.5845,10549.6644,3.25,7970.4428,15050.9992
1784.0869,10532.6446,3.25,8019.1564,15206.9704
1806.1934,10627.9261,3.25,8038.5202,15256.4078
1841.2165,10722.9788,3.25,8106.2005,15335.9124
1860.2983,10701.6125,3.25,8176.8441,15348.9619
1874.4898,10656.3715,3.25,8207.6945,15328.0235
1889.7778,10708.0307,3.25,8268.9291,15290.4927
1888.9874,10755.5282,3.25,8313.2826,15346.5939
1895.7268,10814.4485,3.25,8358.1082,15453.2719
1900.62,10841.4294,3.25,8403.363,15390.2588
1922.4653,10899.6338,3.25,8461.7703,15583.3572
1939.5775,10975.4004,3.25,8527.8021,15628.5769
1952.7901,11002.6287,3.37,8626.436,15564.1026
1959.7418,10969.0952,3.5,8657.7794,15650.9327
1991.1187,11022.431,3.5,8690.3436,15739.275
2032.2843,11141.0267,3.5,8741.0344,15720.268
2054.8154,11178.5185,3.5,8800.0366,15811.0924
2068.2848,11148.1584,3.5,8854.3335,15870.8444
2068.8315,11226.6232,3.5,8920.4137,15917.6468
2063.7674,11259.2233,3.5,8972.3576,15997.5867
2053.5458,11350.2078,3.5,9012.3979,16078.808
2069.9936,11354.3104,3.5,9071.2857,16063.1137
2092.6967,11359.9193,3.5,9117.1517,16012.2959
2098.047,11447.8487,3.5,9143.5971,16083.2679
2096.6346,11554.0716,3.64,9183.0523,16057.3733
2093.6025,11539.8532,3.75,9155.3245,16087.7335
2101.4225,11563.3285,3.75,9130.4119,16182.1378
2094.4438,11678.0441,3.88,9106.1811,16200.4738
2109.1599,11692.2823,4,9169.3449,16208.5629
2111.6415,11678.1221,4,9216.6833,16217.6016
2110.0392,11685.8765,4.13,9248.864,16235.2885
2099.7136,11757.4866,4.25,9289.5346,16334.5344
2098.4821,11812.6356,4.25,9325.2802,16493.2956
2109.4226,11860.9751,4.25,9376.9523,16504.0086
2117.5026,11926.3937,4.25,9434.0131,16555.2281
